existing_identifier,source_platform,display_name,proposed_canonical_identifier,classification,ranking_movement,seeded_in_migration_2
machine_smith_split_squat,ios,Smith Machine Split Squat,smith-machine-split-squat,duplicate,,no
machine_standing_calf_raise,ios,Standing Calf Raise Machine,standing-calf-raise-machine,duplicate,,no
machine_standing_glute_kickback,ios,Standing Glute Kickback Machine,standing-glute-kickback-machine,duplicate,,no
machine_standing_leg_curl,ios,Standing Leg Curl Machine,standing-leg-curl-machine,alias,,no
machine_t_bar_row,ios,T-Bar Row Machine,t-bar-row-machine,duplicate,,no
machine_tibialis_raise,ios,Tibialis Raise Machine,tibialis-raise-machine,alias,,no
machine_triceps_dip,ios,Triceps Dip Machine,triceps-dip-machine,alias,,no
machine_triceps_extension,ios,Triceps Extension Machine,triceps-extension-machine,duplicate,,no
machine_v_squat,ios,V-Squat Machine,v-squat-machine,alias,,no
machine_vertical_leg_press,ios,Vertical Leg Press,vertical-leg-press,alias,,no
machine_wide_grip_chest_press,ios,Wide-Grip Chest Press Machine,wide-grip-chest-press-machine,duplicate,,no
machine_wide_grip_pulldown,ios,Wide-Grip Pulldown Machine,wide-grip-pulldown-machine,alias,,no
overhead_triceps_extension,ios,Overhead Triceps Extension,overhead-triceps-extension,alias,,no
pec_deck,ios,Pec Deck,pec-deck,duplicate,,yes
plank,ios,Plank,plank,exact,,yes
pull_up,ios,Pull-Up,pull-up,duplicate,,yes
rear_delt_fly,ios,Rear Delt Fly,rear-delt-fly,alias,,no
romanian_deadlift,ios,Romanian Deadlift,romanian-deadlift,duplicate,,yes
seated_cable_row,ios,Seated Cable Row,seated-cable-row,duplicate,,yes
seated_leg_curl,ios,Seated Leg Curl,seated-leg-curl,duplicate,,no
single_arm_db_row,ios,Single-Arm DB Row,single-arm-db-row,alias,,no
sumo_deadlift,ios,Sumo Deadlift,sumo-deadlift,alias,deadlift,yes
triceps_pressdown,ios,Triceps Pressdown,triceps-pushdown,alias,,yes
weighted_dip,ios,Weighted Dip,weighted-dip,alias,,no
back-squat,web,Back Squat,back-squat,exact,back_squat,yes
barbell-bench,web,Barbell Bench Press,barbell-bench-press,duplicate,bench_press,yes
barbell-curl,web,Barbell Curl,barbell-curl,exact,,yes
barbell-row,web,Barbell Row,barbell-row,exact,,yes
cable-crunch,web,Cable Crunch,cable-crunch,exact,,yes
cable-fly,web,Cable Fly,cable-fly,exact,,yes
catalog-arms-cable-bayesian-cable-curl,web,Bayesian Cable Curl,bayesian-cable-curl,duplicate,,no
catalog-arms-cable-cable-biceps-curl,web,Cable Biceps Curl,cable-biceps-curl,duplicate,,no
catalog-arms-cable-cable-preacher-curl,web,Cable Preacher Curl,cable-preacher-curl,duplicate,,no
catalog-arms-cable-cable-reverse-wrist-curl,web,Cable Reverse Wrist Curl,cable-reverse-wrist-curl,alias,,no
catalog-arms-cable-cable-skull-crusher,web,Cable Skull Crusher,cable-skull-crusher,duplicate,,no
catalog-arms-cable-cable-wrist-curl,web,Cable Wrist Curl,cable-wrist-curl,alias,,no
catalog-arms-cable-high-cable-curl,web,High Cable Curl,high-cable-curl,alias,,no
catalog-arms-cable-overhead-cable-triceps-extension,web,Overhead Cable Triceps Extension,overhead-cable-triceps-extension,alias,,no
catalog-arms-cable-reverse-cable-curl,web,Reverse Cable Curl,reverse-cable-curl,alias,,no
catalog-arms-cable-reverse-grip-pushdown,web,Reverse-Grip Pushdown,reverse-grip-pushdown,alias,,no
catalog-arms-cable-rope-hammer-curl,web,Rope Hammer Curl,rope-hammer-curl,duplicate,,no
catalog-arms-cable-rope-triceps-pushdown,web,Rope Triceps Pushdown,rope-triceps-pushdown,duplicate,,no
catalog-arms-cable-single-arm-triceps-pushdown,web,Single-Arm Triceps Pushdown,single-arm-triceps-pushdown,duplicate,,no
catalog-arms-cable-straight-bar-triceps-pushdown,web,Straight-Bar Triceps Pushdown,straight-bar-triceps-pushdown,duplicate,,no
catalog-arms-dumbbells-concentration-curl,web,Concentration Curl,concentration-curl,duplicate,,no
catalog-arms-dumbbells-cross-body-hammer-curl,web,Cross-Body Hammer Curl,cross-body-hammer-curl,duplicate,,no
catalog-arms-dumbbells-dumbbell-kickback,web,Dumbbell Kickback,dumbbell-kickback,alias,,no
catalog-arms-dumbbells-dumbbell-overhead-triceps-extension,web,Dumbbell Overhead Triceps Extension,dumbbell-overhead-triceps-extension,alias,,no
catalog-arms-dumbbells-dumbbell-reverse-wrist-curl,web,Dumbbell Reverse Wrist Curl,dumbbell-reverse-wrist-curl,alias,,no
catalog-arms-dumbbells-dumbbell-skull-crusher,web,Dumbbell Skull Crusher,dumbbell-skull-crusher,duplicate,,no
catalog-arms-dumbbells-dumbbell-tate-press,web,Dumbbell Tate Press,dumbbell-tate-press,duplicate,,no
catalog-arms-dumbbells-dumbbell-wrist-curl,web,Dumbbell Wrist Curl,dumbbell-wrist-curl,alias,,no
catalog-arms-dumbbells-hammer-curl,web,Hammer Curl,hammer-curl,alias,,no
catalog-arms-dumbbells-incline-dumbbell-curl,web,Incline Dumbbell Curl,incline-dumbbell-curl,alias,,no
catalog-arms-dumbbells-preacher-dumbbell-curl,web,Preacher Dumbbell Curl,preacher-dumbbell-curl,alias,,no
catalog-arms-dumbbells-rolling-dumbbell-extension,web,Rolling Dumbbell Extension,rolling-dumbbell-extension,alias,,no
catalog-arms-dumbbells-spider-curl,web,Spider Curl,spider-curl,alias,,no
catalog-arms-dumbbells-zottman-curl,web,Zottman Curl,zottman-curl,duplicate,,no
catalog-arms-machine-arm-curl-machine,web,Arm Curl Machine,arm-curl-machine,alias,,no
catalog-arms-machine-assisted-dip-machine,web,Assisted Dip Machine,assisted-dip-machine,duplicate,,no
catalog-arms-machine-biceps-curl-machine,web,Biceps Curl Machine,biceps-curl-machine,alias,,no
catalog-arms-machine-dip-machine,web,Dip Machine,dip-machine,alias,,no
catalog-arms-machine-grip-machine,web,Grip Machine,grip-machine,duplicate,,no
catalog-arms-machine-plate-loaded-biceps-curl,web,Plate-Loaded Biceps Curl,plate-loaded-biceps-curl,alias,,no
catalog-arms-machine-plate-loaded-triceps-extension,web,Plate-Loaded Triceps Extension,plate-loaded-triceps-extension,alias,,no
catalog-arms-machine-preacher-curl-machine,web,Preacher Curl Machine,preacher-curl-machine,duplicate,,no
catalog-arms-machine-triceps-extension-machine,web,Triceps Extension Machine,triceps-extension-machine,duplicate,,no
catalog-arms-machine-wrist-curl-machine,web,Wrist Curl Machine,wrist-curl-machine,alias,,no
catalog-back-cable-cable-pullover,web,Cable Pullover,cable-pullover,duplicate,,no
catalog-back-cable-cable-rear-delt-row,web,Cable Rear-Delt Row,cable-rear-delt-row,alias,,no
catalog-back-cable-cable-shrug,web,Cable Shrug,cable-shrug,alias,,no
catalog-back-cable-close-grip-lat-pulldown,web,Close-Grip Lat Pulldown,close-grip-lat-pulldown,alias,,no
catalog-back-cable-half-kneeling-cable-row,web,Half-Kneeling Cable Row,half-kneeling-cable-row,duplicate,,no
